UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,Grondslag,Grondslaglabel,Grondslaglink
ballon oplaten bij vliegveld toestemming,http://standaarden.overheid.nl/owms/terms/ballonOplVliegvToest,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/RegKabKlBal_art_3,Artikel 3 Regeling kabelvliegers en kleine ballons,https://wetten.overheid.nl/jci1.3:c:BWBR0007094&artikel=3
ballon oplaten bij vliegveld toestemming,http://standaarden.overheid.nl/owms/terms/ballonOplVliegvToest,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/RegKabKlBal_art_4,Artikel 4 Regeling kabelvliegers en kleine ballons,https://wetten.overheid.nl/jci1.3:c:BWBR0007094&artikel=4
bankierseed,http://standaarden.overheid.nl/owms/terms/bankierseed,X,,,,X,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Reg_eed_fin_sec_art_1,Artikel 1 Regeling eed of belofte financiële sector 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0036152&artikel=1
basisschool klacht,http://standaarden.overheid.nl/owms/terms/basisschKlacht,X,,,,X,,,E1,,,,,,,http://standaarden.overheid.nl/owms/terms/WPO_art_14,Artikel 14 Wet op het primair onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0003420&hoofdstuk=I&titeldeel=II&afdeling=1&paragraaf=1&artikel=14
batterijen en accu's-inzamelverplichting,http://standaarden.overheid.nl/owms/terms/battaccuinzplicht,X,,,,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Reg_beheer_batt_art_5,Artikel 5 Regeling beheer batterijen en accu’s 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0024492&paragraaf=3&artikel=5
bebouwde kom vaststelling,http://standaarden.overheid.nl/owms/terms/bebouwde_kom_vaststelling,,X,,,X,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wegw_art_27,Artikel 27 Wegenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0001948&hoofdstuk=V&paragraaf=1&artikel=27
bedieningstijden,http://standaarden.overheid.nl/owms/terms/bedieningstijden,,,X,,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wschw_art_78,Artikel 78 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=III&hoofdstuk=X&artikel=78
bedrijf aan huis melding,http://standaarden.overheid.nl/owms/terms/bedrijf_aan_huis_melding,,,,,,X,,,,X,,,X,,,,
bedrijfsafvalinzameling,http://standaarden.overheid.nl/owms/terms/bedrijfsafvalinzameling,X,,,X,,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_11,Artikel 11 Model Afvalstoffenverordening,
bedrijfsafvalstoffenmelding,http://standaarden.overheid.nl/owms/terms/bedrafvmld,X,,,,,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wm_art_10_40,Artikel 10.40 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=10&titeldeel=10.6&paragraaf=10.6.1&artikel=10.40
bedrijfsafvalstoffenregistratie,http://standaarden.overheid.nl/owms/terms/bedrafvreg,X,,,,,X,X,M9,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wm_art_10_38,Artikel 10.38 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=10&titeldeel=10.6&paragraaf=10.6.1&artikel=10.38
bedrijfsafvalwaterlozingontheffing,http://standaarden.overheid.nl/owms/terms/bedrijfsafvalwaterlozingontheffing,,,X,X,,X,X,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wm_art_10_47,Artikel 10.47 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=10&titeldeel=10.6&paragraaf=10.6.3&artikel=10.47
bedrijfshulpverleners aanwijzing,http://standaarden.overheid.nl/owms/terms/bedrHulpverlAanw,X,,,,,X,X,Q1,,,,,,X,http://standaarden.overheid.nl/owms/terms/Arbo_art_15,Artikel 15 Arbeidsomstandighedenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0010346&hoofdstuk=3&artikel=15
bedrijfsterrein huren of kopen,http://standaarden.overheid.nl/owms/terms/bedrijfsterrein_huren_of_kopen,,,,X,,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_1,Artikel 1 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1&afdeling=1&artikel=1
bedrijfsterreinuitgifte,http://standaarden.overheid.nl/owms/terms/bedrijfsterreinuitgifte,,,,X,,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_1,Artikel 1 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1&afdeling=1&artikel=1
bedrijfsverzamelgebouw toewijzing en beheer,http://standaarden.overheid.nl/owms/terms/bedrijfsverzamelgebouw_toewijzing_en_beheer,,,,X,,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_1,Artikel 1 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1&afdeling=1&artikel=1
beeldende kunstsubsidie,http://standaarden.overheid.nl/owms/terms/beeldende_kunstsubsidie,,,,X,X,,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
begeleid werken,http://standaarden.overheid.nl/owms/terms/begWerk,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Pw_art_10da,Artikel 10da Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&paragraaf=2.1&artikel=10da
begeleiding schoolverlater,http://standaarden.overheid.nl/owms/terms/begSchoolverl,,,,X,X,,,,,X,,,,,,,
begraafplaatsregister,http://standaarden.overheid.nl/owms/terms/begraafplaatsregister,X,,,X,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wlb_art_27,Artikel 27 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=III&paragraaf=1&artikel=27
beheersverordening,http://standaarden.overheid.nl/owms/terms/beheersverordening,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wro_art_3_38,Artikel 3.38 Wet ruimtelijke ordening,https://wetten.overheid.nl/jci1.3:c:BWBR0020449&hoofdstuk=3A&artikel=3.38
bekendmaking,http://standaarden.overheid.nl/owms/terms/bekendmaking,X,X,X,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_3_40,Artikel 3.40 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=3&afdeling=3.6&artikel=3:40
bekendmaking algemeen verbindend voorschrift,http://standaarden.overheid.nl/owms/terms/bmavv,X,X,X,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bmw,Bekendmakingswet,https://wetten.overheid.nl/jci1.3:c:BWBR0004287
beklag over niet-vervolgen strafbaar feit,http://standaarden.overheid.nl/owms/terms/beklagNtVervStrFeit,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Sv_art_12,Artikel 12 Wetboek van Strafvordering,https://wetten.overheid.nl/jci1.3:c:BWBR0001903&boek=Eerste&titeldeel=I&afdeling=Vierde&artikel=12
bekwaamheid leraar vo erkenning,http://standaarden.overheid.nl/owms/terms/bekwLeraarVOErk,X,,,,X,,,B3,,,X,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_7_11,"Wet voortgezet onderwijs 2020, art. 7.11",https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=7&paragraaf=2&artikel=7.11
belasting hardheidsclausuleverzoek,http://standaarden.overheid.nl/owms/terms/belastHardhClVerz,X,,,,X,X,,B4,,,X,,,,http://standaarden.overheid.nl/owms/terms/AWR_art_63,Artikel 63 Algemene wet inzake rijksbelastingen,https://wetten.overheid.nl/jci1.3:c:BWBR0002320&hoofdstuk=VIII&afdeling=5&artikel=63
belasting op leidingwater,http://standaarden.overheid.nl/owms/terms/belleidwater,X,,,,,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wbm_art_13,Artikel 13 Wet belastingen op milieugrondslag,https://wetten.overheid.nl/jci1.3:c:BWBR0007168&hoofdstuk=III&afdeling=2&artikel=13
belasting zware motorrijtuigen,http://standaarden.overheid.nl/owms/terms/belzwmotrijt,X,,,,,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wbzm_art_3,Artikel 3 Wet belasting zware motorrijtuigen,https://wetten.overheid.nl/jci1.3:c:BWBR0007678&hoofdstuk=II&afdeling=2&artikel=3
belastingaangifte,http://standaarden.overheid.nl/owms/terms/belastingaangifte,X,,X,,X,X,,L1;B4,X,,,,,X,http://standaarden.overheid.nl/owms/terms/AWR_art_6,Artikel 6 Algemene wet inzake rijksbelastingen,https://wetten.overheid.nl/jci1.3:c:BWBR0002320&hoofdstuk=II&artikel=6
belastingaanslag bezwaar,http://standaarden.overheid.nl/owms/terms/belastingaanslag_bezwaar,,,X,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_7_1,Artikel 7:1 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=7&afdeling=7.1&artikel=7:1
belastingaanslag kopie,http://standaarden.overheid.nl/owms/terms/belastingaanslag_kopie,,,X,X,X,X,,,X,,,,,,,,
belastingbetaling uitstel,http://standaarden.overheid.nl/owms/terms/belastingbetUitst,X,,X,,X,X,,B4,X,,X,,,,http://standaarden.overheid.nl/owms/terms/IW_art_25,Artikel 25 Invorderingswet 1990,https://wetten.overheid.nl/jci1.3:c:BWBR0004770&hoofdstuk=IV&afdeling=3&artikel=25
belastingbetalingsregeling,http://standaarden.overheid.nl/owms/terms/belastingbetalingsregeling,,,X,X,X,X,,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/IW_art_26,Artikel 26 Invorderingswet 1990,https://wetten.overheid.nl/jci1.3:c:BWBR0004770&hoofdstuk=IV&afdeling=3&artikel=26
belastingkwijtschelding,http://standaarden.overheid.nl/owms/terms/belastingkwijtschelding,X,,X,X,X,X,,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/IW_art_26,Artikel 26 Invorderingswet 1990,https://wetten.overheid.nl/jci1.3:c:BWBR0004770&hoofdstuk=IV&afdeling=3&artikel=26
belastingrente,http://standaarden.overheid.nl/owms/terms/belastingrente,X,,,,X,X,,L5,,,,,,X,http://standaarden.overheid.nl/owms/terms/AWR_art_30f,Artikel 30f Algemene wet inzake rijksbelastingen,https://wetten.overheid.nl/jci1.3:c:BWBR0002320&hoofdstuk=VA&artikel=30f
belastingteruggave,http://standaarden.overheid.nl/owms/terms/belastingteruggave,,,X,X,X,X,,,X,,X,,,,,,
bemanningscertificaat,http://standaarden.overheid.nl/owms/terms/bemancert,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_zeevarenden_art_5,Artikel 5 Wet zeevarenden,https://wetten.overheid.nl/jci1.3:c:BWBR0009124&hoofdstuk=2&paragraaf=2&artikel=5
berichtenbox,http://standaarden.overheid.nl/owms/terms/berichtenbox,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/DienstenReg_centr_loket_art_2,Artikel 2 Dienstenregeling centraal loket en interne markt informatiesysteem,https://wetten.overheid.nl/jci1.3:c:BWBR0026766&paragraaf=2&artikel=2
beroep,http://standaarden.overheid.nl/owms/terms/beroep,X,X,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_8_1,Artikel 8:1 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=8&titeldeel=8.1&afdeling=8.1.1&artikel=8:1
beroepskracht-kindratio,http://standaarden.overheid.nl/owms/terms/berkrkndrat,X,,,,,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_kwal_kinderopv_art_7,Artikel 7 Besluit kwaliteit kinderopvang,https://wetten.overheid.nl/jci1.3:c:BWBR0039936&hoofdstuk=2&paragraaf=1&artikel=7
beroepskwalificatie erkenning,http://standaarden.overheid.nl/owms/terms/beroepskwalErk,X,,,,X,X,X,B3;N3,,,X,,,,http://standaarden.overheid.nl/owms/terms/AlgWetEUBerKwal_art_5,Artikel 5 Algemene wet erkenning EU-beroepskwalificaties,https://wetten.overheid.nl/jci1.3:c:BWBR0023066&hoofdstuk=2&artikel=5
beroepsonderwijs en volwasseneneducatie klacht,http://standaarden.overheid.nl/owms/terms/berOndVolwEdKlacht,X,,,,X,,,E1,,,,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_7_5_2,Artikel 7.5.2 Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=7&titeldeel=5&artikel=7.5.2
beroepsopleiding aanmelding,http://standaarden.overheid.nl/owms/terms/berOndAanm,X,,,,X,,,E1,,,,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_8_0_1,Artikel 8.0.1. Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=8&titeldeel=0&artikel=8.0.1
beroepspraktijkvorming,http://standaarden.overheid.nl/owms/terms/beroepspraktijkvorming,X,,,,X,,,E3,,,,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_7_2_8,Artikel 7.2.8 Wet educatie en beroepsonderwijs ,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=7&titeldeel=2&paragraaf=2&artikel=7.2.8
beschermde dieren ontheffing,http://standaarden.overheid.nl/owms/terms/beschermde_dieren_ontheffing,X,X,,,X,X,X,N1;D2,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_natuurbescherming_art_3_8,Artikel 3.8 Wet natuurbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0037552&hoofdstuk=3&paragraaf=3.2&artikel=3.8
beschikking,http://standaarden.overheid.nl/owms/terms/beschikking,X,X,X,X,X,X,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_1_3,Artikel 1:3 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=1&titeldeel=1.1&artikel=1:3
beschut werk,http://standaarden.overheid.nl/owms/terms/beschWerk,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Pw_art_10b,Artikel 10b Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&paragraaf=2.1&artikel=10b
besmettelijke dierziektemeldingsplicht,http://standaarden.overheid.nl/owms/terms/besmettelijke_dierziektemeldingsplicht,X,,,X,X,X,X,,,X,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_dieren_art_2_12,Artikel 2.12 Wet dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0030250&hoofdstuk=2&paragraaf=1&artikel=2.12
bestelautotarief gehandicapten motorrijtuigenbelasting,http://standaarden.overheid.nl/owms/terms/bestAutGehMrb,X,,,,X,,,B4,,,,,,X,http://standaarden.overheid.nl/owms/terms/MRB_art_24a,Artikel 24a Wet op de motorrijtuigenbelasting 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006324&hoofdstuk=IV&afdeling=3&artikel=24a
bestemmingsplan inzage,http://standaarden.overheid.nl/owms/terms/bestemmingsplan_inzage,X,,,X,X,X,,N1,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wro_art_3_8,Artikel 3.8 Wet ruimtelijke ordening,https://wetten.overheid.nl/jci1.3:c:BWBR0020449&hoofdstuk=3&afdeling=3.2&artikel=3.8
bestuurlijke boete,http://standaarden.overheid.nl/owms/terms/bestuurlijke_boete,X,X,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_5_40,Artikel 5:40 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=5&titeldeel=5.4&afdeling=5.4.1&artikel=5:40
betogings- of demonstratiemelding,http://standaarden.overheid.nl/owms/terms/betogDemonsMld,,,,X,X,,,,,X,,,X,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_3,Artikel 2:3 Model Algemene plaatselijke verordening,
beveiliging en recherche handboeien toestemming,http://standaarden.overheid.nl/owms/terms/bevrechhandbtoes,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_part_bev_org_art_9,Artikel 9 Wet particuliere beveiligingsorganisaties en recherchebureaus ,https://wetten.overheid.nl/jci1.3:c:BWBR0008973&paragraaf=2&artikel=9
beveiligings- en recherchebureau ontheffing,http://standaarden.overheid.nl/owms/terms/bevrechburonth,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_part_bev_org_art_2,Artikel 2 Wet particuliere beveiligingsorganisaties en recherchebureaus,https://wetten.overheid.nl/jci1.3:c:BWBR0008973&paragraaf=1&artikel=2
beveiligings- en recherchebureau vergunning,http://standaarden.overheid.nl/owms/terms/bevrechburverg,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_part_bev_org_art_2,Artikel 2 Wet particuliere beveiligingsorganisaties en recherchebureaus,https://wetten.overheid.nl/jci1.3:c:BWBR0008973&paragraaf=1&artikel=2
beveiligings- en recherchepersoneel toestemming,http://standaarden.overheid.nl/owms/terms/bevrechpertoest,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_part_bev_org_art_7,Artikel 7 Wet particuliere beveiligingsorganisaties en recherchebureaus ,https://wetten.overheid.nl/jci1.3:c:BWBR0008973&paragraaf=2&artikel=7
beveiligings- of recherchevergunning,http://standaarden.overheid.nl/owms/terms/bevrechverg,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_part_bev_org_art_3,Artikel 3 Wet particuliere beveiligingsorganisaties en recherchebureaus,https://wetten.overheid.nl/jci1.3:c:BWBR0008973&paragraaf=1&artikel=3
bevoegdheidsbewijs luchtballonpiloot,http://standaarden.overheid.nl/owms/terms/bevoegdBewLuchtbPiloot,X,,,,X,,,C5,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2018_395_art_3bis,Artikel 3 bis Verordening (EU) 2018/395 van de Commissie van 13 maart 2018 tot vaststelling van gedetailleerde regels voor vluchtuitvoeringen met ballonnen ...,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32018R0395
bevoegdheidsbewijs recreatief vlieger,http://standaarden.overheid.nl/owms/terms/bevoegdBewRecrVlieger,X,,,,X,,,C5,,,X,,,,http://standaarden.overheid.nl/owms/terms/BBBLuchtv_art_2,Artikel 2 Besluit bewijzen van bevoegdheid voor de luchtvaart,https://wetten.overheid.nl/jci1.3:c:BWBR0010629&hoofdstuk=2&paragraaf=1&artikel=2
bevoegdheidsbewijs zweefvliegtuigpiloot,http://standaarden.overheid.nl/owms/terms/bevoegdBewZwVlPiloot,X,,,,X,,,C5,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2018_1976_art_3_bis,Artikel 3 bis Uitvoeringsverordening (EU) 2018/1976 van de Commissie van 14 december 2018 tot vaststelling van gedetailleerde regels inzake vluchtuitvoeringen met zweefvliegtuigen ...,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:02018R1976-20211115
bewaartermijn asbus ontheffing,http://standaarden.overheid.nl/owms/terms/bewTermAsbusOnth,X,,,,X,,,D6,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wlb_art_59,Artikel 59 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=IV&afdeling=3&paragraaf=1&artikel=59
bewijs van in leven zijn (attestatie de vita),http://standaarden.overheid.nl/owms/terms/bewijs_van_in_leven_zijn_(attestatie_de_vita),,,,X,X,,,B9,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_19k,Artikel 19k Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=4&artikel=19k
bewijs van nederlanderschap,http://standaarden.overheid.nl/owms/terms/bewijs_van_nederlanderschap,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_55,Artikel 2.55 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&paragraaf=6&artikel=2.55
bewind,http://standaarden.overheid.nl/owms/terms/bewind,X,,,,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_431,Artikel 431 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=19&artikel=431
bezit beschermde dieren ontheffing,http://standaarden.overheid.nl/owms/terms/bezitBeschDierenOntheffing,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_dieren_art_10_1,Artikel 10.1 Wet dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0030250&hoofdstuk=10&artikel=10.1
bezoekafspraak,http://standaarden.overheid.nl/owms/terms/bezafspr,X,X,X,X,X,X,,,X,,,,,,,,
bezwaar,http://standaarden.overheid.nl/owms/terms/bezwaar,X,X,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_7_1,Artikel 7:1 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=7&afdeling=7.1&artikel=7:1
beëindiging registratie kenteken bij uitvoer,http://standaarden.overheid.nl/owms/terms/beeindRegistrKentekUitvoer,X,,,,X,X,,C1,,,,,X,,http://standaarden.overheid.nl/owms/terms/KR_art_33,Artikel 33 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=33
big-register buitenlands diploma-erkenning,http://standaarden.overheid.nl/owms/terms/bigRegBuitDiplErk,X,,,,X,,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/BIG_art_41,Artikel 41 Wet op de beroepen in de individuele gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0006251&hoofdstuk=VI&paragraaf=1&artikel=41
big-register herinschrijving,http://standaarden.overheid.nl/owms/terms/bigRegHerinschr,X,,,,X,,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/BIG_art_8,Artikel 8 Wet op de beroepen in de individuele gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0006251&hoofdstuk=II&paragraaf=1&artikel=8
big-register inschrijving,http://standaarden.overheid.nl/owms/terms/bigRegInschr,X,,,,X,,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/BIG_art_3,Artikel 3 Wet op de beroepen in de individuele gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0006251&hoofdstuk=II&paragraaf=1&artikel=3
big-register inzage,http://standaarden.overheid.nl/owms/terms/bigRegInz,X,,,,X,X,,H5,,,X,,,,http://standaarden.overheid.nl/owms/terms/BIG_art_12,Artikel 12 Wet op de beroepen in de individuele gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0006251&hoofdstuk=II&paragraaf=1&artikel=12
bijenhoudontheffing,http://standaarden.overheid.nl/owms/terms/bijenhoudonth,,,,X,X,X,X,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_64,Artikel 2:64 Model Algemene plaatselijke verordening,
bijstand,http://standaarden.overheid.nl/owms/terms/bijstand,,,,X,X,,,B9,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Pw_art_11,Artikel 11 Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&paragraaf=2.2&artikel=11
bijstand tegenprestatie,http://standaarden.overheid.nl/owms/terms/bijstandTegenpr,,,,X,X,,,,,X,,,,X,http://standaarden.overheid.nl/owms/terms/Pw_art_9,Artikel 9 Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&paragraaf=2.1&artikel=9
bijstand zelfstandigen,http://standaarden.overheid.nl/owms/terms/bijstandZst,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Bbz_art_2,Artikel 2 Besluit bijstandverlening zelfstandigen 2004,https://wetten.overheid.nl/jci1.3:c:BWBR0015711&hoofdstuk=II&paragraaf=1&artikel=2
bijstandsverhaal,http://standaarden.overheid.nl/owms/terms/bijstandsverh,,,,X,X,,,,,X,,,,X,http://standaarden.overheid.nl/owms/terms/Pw_art_61,Artikel 61 Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=6&paragraaf=6.5&artikel=61
bijzettingenregister,http://standaarden.overheid.nl/owms/terms/bijzettingenregister,X,,,X,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wlb_art_65,Artikel 65 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=IV&afdeling=3&paragraaf=2&artikel=65
